mqap_id,country,address,lng,city,group_sic_code_name_ext,group_sic_code,side_of_street,disp_lng,phone,group_sic_code_ext,group_sic_code_name,name,disp_lat,state,id,postal_code,mqap_geography,lat
074a129d-92ab-4f4c-b235-9f287729be8e,US,7530 16th St NW,-77.036382,Washington,(All) Doctors,801101.0,R,-77.036718,+(1)-(202)-3321058,801101.0,(All) Doctors,DR E Devaughn Belton,38.982137,DC,290876880,20012,"{'latLng': {'lng': -77.036382, 'lat': 38.982177}}",38.982177
58c8da97-d8d2-4461-80c7-a90e94ac4a8b,US,7520 16th St NW,-77.036383,Washington,(All) Places Of Worship,866107.0,R,-77.036732,+(1)-(202)-8829144,866107.0,(All) Places Of Worship,Marshall Elijah Rev,38.981958,DC,362186474,20012,"{'latLng': {'lng': -77.036383, 'lat': 38.981995}}",38.981995
0f2fb9ef-3b3f-4bbd-b0f0-0a153e4678f6,US,7516 16th St NW,-77.036385,Washington,Real Estate Agents,653118.0,R,-77.036708,+(1)-(202)-6218724,653118.0,Real Estate Agents,Anderson,38.981673,DC,362029569,20012,"{'latLng': {'lng': -77.036385, 'lat': 38.981705}}",38.981705
6dd469c9-f55b-4a9e-a602-30ee513f9b4f,US,1645 Jonquil St NW,-77.038182,Washington,(All) Doctors,801101.0,R,-77.038423,+(1)-(202)-8296545,801101.0,(All) Doctors,Batipps E MD,38.983642,DC,368342609,20012,"{'latLng': {'lng': -77.038182, 'lat': 38.983508}}",38.983508
48dbcc62-c678-4b92-97cf-c694f23aedbe,US,7701 16th St NW,-77.036288,Washington,Synagogues,866112.0,R,-77.035838,+(1)-(202)-8821605,866112.0,Synagogues,Tifereth Israel Congregation,38.983644,DC,2475763,20012,"{'latLng': {'lng': -77.036288, 'lat': 38.983581}}",38.983581
db27da9b-2279-4ba6-9b61-e2862d6367fc,US,1497 Hemlock St NW,-77.035006,Washington,,,R,-77.035006,+(1)-(202)-5598922,,,Billy Bob S Bed Bug Removal,38.98132,DC,290321270,20012,"{'latLng': {'lng': -77.035006, 'lat': 38.98132}}",38.98132
ca5acc3c-6ae9-4ab3-9d38-9a5deddda199,US,1600 Jonquil St NW,-77.037152,Washington,Synagogues,866112.0,L,-77.037152,+(1)-(202)-8827225,866112.0,Synagogues,Ohev Sholom Talmud Torah Congregation,38.984289,DC,2475708,20012,"{'latLng': {'lng': -77.037152, 'lat': 38.984289}}",38.984289
b764e0cf-3dd8-4592-b978-f49cd2f4bf88,US,1428 Iris St NW,-77.034686,Washington,(All) Doctors,801101.0,L,-77.034689,+(1)-(202)-8827451,801101.0,(All) Doctors,Marvin A Jackson MD,38.982052,DC,366950120,20012,"{'latLng': {'lng': -77.034686, 'lat': 38.982276}}",38.982276
4375c7cf-812c-457f-84a4-5fb19f064997,US,1540 Hemlock St NW,-77.0349,Washington,Legal Services,811198.0,L,-77.034894,+(1)-(202)-7233074,811198.0,Legal Services,Dharma Devarajan,38.981124,DC,273256336,20012,"{'latLng': {'lng': -77.0349, 'lat': 38.98132}}",38.98132
61a100d2-c3e0-4e6a-8cfe-89e3c6e14ee9,US,1429 Iris St NW,-77.034565,Washington,Museums,841201.0,R,-77.034572,+(1)-(202)-7832963,841201.0,Museums,Zenith Gallery,38.982462,DC,277513786,20012,"{'latLng': {'lng': -77.034565, 'lat': 38.982279}}",38.982279
